Date,day,in_shortwave,out_shortwave,in_longwave,out_longwave
01/01/2018,1,0,0,330.6,351.1
01/01/2018,2,0,0,341.8,350.2
01/01/2018,3,0,0,340.2,348.8
01/01/2018,4,0,0,338.3,347.7
01/01/2018,5,0,0,327.1,346.2
01/01/2018,6,0,0,302.9,343
01/01/2018,7,0,0,282.4,340.9
01/01/2018,8,1.2,0,270.3,338.4
01/01/2018,9,35.1,9.8,284.6,340.1
01/01/2018,10,135.9,44.7,295.8,345.1
01/01/2018,11,198.1,65,281.1,347.9
01/01/2018,12,160,49.1,276.7,347.9
01/01/2018,13,112.4,28.5,302.3,349.6
01/01/2018,14,55.2,11.8,324.9,350
01/01/2018,15,13.7,2.1,343.2,350.1
01/01/2018,16,0,0,347.3,347.2
01/01/2018,17,0,0,354.6,346.9
01/01/2018,18,0,0,356.1,346.5
01/01/2018,19,0,0,355.1,343.6
01/01/2018,20,0,0,352.5,342.1
01/01/2018,21,0,0,351,342.3
01/01/2018,22,0,0,350.6,342.6
01/01/2018,23,0,0,350.4,342.8
01/01/2018,24,0,0,325.9,340.6
02/01/2018,1,0,0,308.2,332.6
02/01/2018,2,0,0,316.5,338
02/01/2018,3,0,0,292.1,334.6
02/01/2018,4,0,0,312.3,337.5
02/01/2018,5,0,0,287.9,332.8
02/01/2018,6,0,0,340.6,341.7
02/01/2018,7,0,0,332.6,340.6
02/01/2018,8,0.2,0,323.5,338.5
02/01/2018,9,18.7,3.3,302.8,338.3
02/01/2018,10,85.3,23.3,314.2,343.3
02/01/2018,11,116.4,31.7,289.8,346.3
02/01/2018,12,118.2,30.4,294,346.9
02/01/2018,13,100.2,23.7,308.8,348.4
02/01/2018,14,49.2,10.7,322.6,346.7
02/01/2018,15,21.9,3.8,316.6,343.4
02/01/2018,16,1,0,320.3,340.8
02/01/2018,17,0,0,325.6,340.9
02/01/2018,18,0,0,334.8,342.9
02/01/2018,19,0,0,340.2,343.1
02/01/2018,20,0,0,342.6,345.1
02/01/2018,21,0,0,344.5,348
02/01/2018,22,0,0,349.5,351.7
02/01/2018,23,0,0,353,354.5
02/01/2018,24,0,0,353.8,358.6
03/01/2018,1,0,0,355.2,359.4
03/01/2018,2,0,0,358.8,361.5
03/01/2018,3,0,0,363.3,365.9
03/01/2018,4,0,0,322.9,357.9
03/01/2018,5,0,0,308.3,354.5
03/01/2018,6,0,0,326.5,353.7
03/01/2018,7,0,0,318.8,344.1
03/01/2018,8,0.9,0,280.5,338.1
03/01/2018,9,10.2,0.9,324.3,344.1
03/01/2018,10,21.9,3.4,339,346.5
03/01/2018,11,23,3,339.6,345.3
03/01/2018,12,19.8,1.8,339.4,346.2
03/01/2018,13,33,5.3,339.4,348.1
03/01/2018,14,47.5,9.8,338.2,349.8
03/01/2018,15,27.4,4.5,334.2,349
03/01/2018,16,1,0,341.7,348.4
03/01/2018,17,0,0,340.1,349.3
03/01/2018,18,0,0,335.7,348.8
03/01/2018,19,0,0,338.9,349.6
03/01/2018,20,0,0,338.7,350.1
03/01/2018,21,0,0,340,348.2
03/01/2018,22,0,0,340.2,347.7
03/01/2018,23,0,0,340.7,348.8
03/01/2018,24,0,0,343.8,348.4
04/01/2018,1,0,0,335.8,347.6
04/01/2018,2,0,0,338.6,347.5
04/01/2018,3,0,0,335.6,347.3
04/01/2018,4,0,0,325.7,346.4
04/01/2018,5,0,0,289.8,341.6
04/01/2018,6,0,0,321.2,344.5
04/01/2018,7,0,0,302.8,342.7
04/01/2018,8,0.1,0,323.2,344.2
04/01/2018,9,8.4,0.7,330.6,346.3
04/01/2018,10,31.8,5.8,336.3,349.3
04/01/2018,11,63,13.3,336,351.9
04/01/2018,12,77.6,16.3,341,355.2
04/01/2018,13,56.6,11.8,352.5,356.3
04/01/2018,14,39.5,8.4,357.6,354.6
04/01/2018,15,17,2.6,361,357.2
04/01/2018,16,3.5,0.3,364.3,362.5
04/01/2018,17,0,0,355.8,363.1
04/01/2018,18,0,0,346.8,360.6
04/01/2018,19,0,0,349.7,358.4
04/01/2018,20,0,0,348,355.3
04/01/2018,21,0,0,342.6,351.2
04/01/2018,22,0,0,323.8,347.1
04/01/2018,23,0,0,306.1,344.8
04/01/2018,24,0,0,325.2,345.7
05/01/2018,1,0,0,299.1,343.3
05/01/2018,2,0,0,303.2,343.3
05/01/2018,3,0,0,337.2,344.5
05/01/2018,4,0,0,343.9,341.8
05/01/2018,5,0,0,342.6,340.7
05/01/2018,6,0,0,339.6,339.7
05/01/2018,7,0,0,295.5,333.7
05/01/2018,8,0.3,0,307.6,337.1
05/01/2018,9,16.1,2.6,323.5,342.7
05/01/2018,10,42.2,9,323.3,346.2
05/01/2018,11,83.7,19.9,307.4,348.9
05/01/2018,12,83.5,19.5,311.5,351.9
05/01/2018,13,76.5,16.8,320.3,353.9
05/01/2018,14,69.9,15.2,313.1,354.6
05/01/2018,15,31,6.2,334.6,352.3
05/01/2018,16,4.2,0.3,338.9,352.7
05/01/2018,17,0,0,351.5,351.9
05/01/2018,18,0,0,289.7,341.3
05/01/2018,19,0,0,270.7,337.7
05/01/2018,20,0,0,269.7,335.6
05/01/2018,21,0,0,270.6,337
05/01/2018,22,0,0,268,336.9
05/01/2018,23,0,0,266.9,335.8
05/01/2018,24,0,0,268.8,335.4
06/01/2018,1,0,0,266.8,332.4
06/01/2018,2,0,0,271.6,330.4
06/01/2018,3,0,0,283.4,330.9
06/01/2018,4,0,0,293.6,326
06/01/2018,5,0,0,291.5,323.2
06/01/2018,6,0,0,301.2,326.3
06/01/2018,7,0,0,297.5,329.2
06/01/2018,8,0.4,0,275.9,321.7
06/01/2018,9,17.6,2.6,320,331.1
06/01/2018,10,53.3,10.9,321.1,340.2
06/01/2018,11,137.2,32.9,300,347.4
06/01/2018,12,96.6,22.7,335,354.6
06/01/2018,13,85.3,18.3,328.9,353.1
06/01/2018,14,52.2,10.7,331.3,350.9
06/01/2018,15,35.5,6.7,310.7,344
06/01/2018,16,6,0.6,308.8,340.3
06/01/2018,17,0,0,315.7,339.2
06/01/2018,18,0,0,313.3,339.4
06/01/2018,19,0,0,323.4,338.2
06/01/2018,20,0,0,300.9,334.2
06/01/2018,21,0,0,282,328.5
06/01/2018,22,0,0,274.6,324.8
06/01/2018,23,0,0,272.3,321.8
