"","Datum","WL_Down_Dintel","WL_Down_Vliet","WL_Up_Dintel","WL_Up_Vliet","WL_Gastel","Qin_MarkCanal","Qin_BlauweKamer","Qin_Molenbeak","Qin_Oranjeboombrug","Qout_Dintelsas","Qout_Vliet","dt","dV","Q_diff"
"1",2018-01-01 02:00:00,0.167,0.136,0.207,0.131,0.17,0,0,13.812,18.778,34.713,9.851,1,0,0
"2",2018-01-01 03:00:00,0.208,0.152,0.244,0.152,0.209,0,0,4.419,19.175,27.198,9.851,3600,88230.2,24.5083888888889
"3",2018-01-01 04:00:00,0.184,0.164,0.235,0.169,0.246,0,0,11.443,19.526,38.407,19.462,3600,-21461.4,-5.96150000000001
"4",2018-01-01 05:00:00,0.184,0.156,0.238,0.158,0.216,0,0,11.124,19.694,42.851,19.462,3600,7153.80000000001,1.98716666666667
"5",2018-01-01 06:00:00,0.166,0.165,0.226,0.161,0.215,0,0,9.635,19.48,44.673,13.855,3600,-28615.2,-7.94866666666666
"6",2018-01-01 07:00:00,0.168,0.161,0.223,0.164,0.201,0,0,11.39,19.51,42.202,18.821,3600,-7153.80000000001,-1.98716666666667
"7",2018-01-01 08:00:00,0.17,0.166,0.225,0.164,0.205,0,0,8.984,19.175,42.027,14.496,3600,4769.2,1.32477777777778
"8",2018-01-01 09:00:00,0.179,0.161,0.228,0.162,0.203,0,0,10.116,18.839,40.355,18.02,3600,7153.80000000001,1.98716666666667
"9",2018-01-01 10:00:00,0.167,0.151,0.219,0.155,0.199,0,0,11.328,18.381,42.152,19.942,3600,-21461.4,-5.96150000000001
"10",2018-01-01 11:00:00,0.157,0.137,0.215,0.141,0.191,0,0,12.919,17.908,44.274,21.864,3600,-9538.40000000001,-2.64955555555556
"11",2018-01-01 12:00:00,0.14,0.136,0.198,0.135,0.172,0,0,11.061,17.283,44.898,16.258,3600,-40538.2,-11.2606111111111
"12",2018-01-01 13:00:00,0.146,0.141,0.195,0.136,0.157,0,0,8.003,16.779,38.682,10.171,3600,-7153.80000000001,-1.98716666666667
"13",2018-01-01 14:00:00,0.155,0.158,0.196,0.151,0.176,0,0,9.779,16.306,35.412,7.448,3600,2384.6,0.662388888888889
"14",2018-01-01 15:00:00,0.162,0.167,0.21,0.164,0.177,0,0,6.875,15.741,36.235,11.453,3600,33384.4,9.27344444444443
"15",2018-01-01 16:00:00,0.173,0.177,0.214,0.174,0.185,0,0,6.171,15.467,31.767,9.851,3600,9538.40000000001,2.64955555555556
